Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
"Jul 24, 2018",Aedes,vexans,Female,,94,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
"Sep 11, 2012",Male,UnID,Male,UnID,6,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 14, 2012",Aedes,vexans,Female,,34,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 07, 2018",Male,UnID,Male,UnID,36,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 11, 2017",Mansonia,perturbans,Female,,2,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 11, 2019",Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 02, 2016",Male,UnID,Male,UnID,93,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Aug 04, 2015",Culiseta,alaskaensis,Female,,1,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Sep 24, 2013",Male,UnID,Male,UnID,98,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 20, 2013",Male,UnID,Male,UnID,2,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jul 04, 2017",Aedes,vexans,Female,,3,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Sep 03, 2013",Culex,tarsalis,Female,,2,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 26, 2016",Male,UnID,Male,UnID,6,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 04, 2015",Aedes,vexans,Female,,13,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 09, 2016",Culex,tarsalis,Female,,2,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"May 28, 2013",Misc,UnID,Female,UnID,9,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Sep 26, 2017",Male,UnID,Male,UnID,6,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 20, 2017",Male,UnID,Male,UnID,23,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 28, 2012",Aedes,spp.,Female,UnID,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Sep 13, 2016",Male,UnID,Male,UnID,7,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 08, 2006",Male,UnID,Male,UnID,25,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 31, 2018",Culiseta,minnesotae,Female,,3,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jun 21, 2005",Aedes,vexans,Female,,11,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Sep 21, 2004",Aedes,vexans,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 25, 2019",Anopheles,earlei,Female,,3,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 27, 2004",Aedes,vexans,Female,,1221,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 12, 2018",Male,UnID,Male,UnID,63,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 04, 2017",Culiseta,inornata,Female,,9,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Aug 20, 2013",Male,UnID,Male,UnID,64,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 05, 2014",Male,UnID,Male,UnID,41,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jul 17, 2001",Male,UnID,Male,UnID,8,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 11, 1995",Aedes,vexans,Female,,26,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 21, 2018",Aedes,spp.,Female,UnID,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 22, 2014",Culex,tarsalis,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"May 23, 2017",Aedes,vexans,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"May 27, 2003",Male,UnID,Male,UnID,43,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 08, 2014",Aedes,spp.,Female,UnID,7,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Sep 05, 2017",Aedes,vexans,Female,,11,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
"Jul 11, 2017",Culiseta,alaskaensis,Female,,2,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 04, 2013",Misc,UnID,Female,UnID,3,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 12, 2016",Aedes,dorsalis,Female,,3,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Aug 14, 2018",Aedes,vexans,Female,,9,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 12, 2005",Aedes,vexans,Female,,647,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Sep 16, 2014",Aedes,vexans,Female,,1,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"May 27, 2014",Male,UnID,Male,UnID,17,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Sep 01, 2015",Male,UnID,Male,UnID,3,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Aug 15, 2017",Culiseta,inornata,Female,,16,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 25, 2013",Misc,UnID,Female,UnID,3,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"May 22, 2018",Culiseta,alaskaensis,Female,,2,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Aug 02, 2016",Culex,territans,Female,,2,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 05, 2016",Aedes,vexans,Female,,317,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 13, 2017",Ochlerotatus,euedes,Female,,1,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 27, 2006",Aedes,spp.,Female,UnID,3,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Sep 02, 2014",Male,UnID,Male,UnID,54,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Sep 05, 2017",Aedes,vexans,Female,,9,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 21, 2016",Male,UnID,Male,UnID,29,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 30, 2013",Male,UnID,Male,UnID,39,Outer Community-West,,Outer,53.47503000,-113.93436000,POINT (-113.93436 53.47503)
"Jun 13, 2017",Ochlerotatus,fitchii,Female,,3,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jun 18, 1991",Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 09, 2013",Male,UnID,Male,UnID,13,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Aug 04, 1998",Aedes,vexans,Female,,3339,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 06, 2013",Ochlerotatus,Black legs,Female,UnID,2,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jul 24, 2007",Anopheles,earlei,Female,,8,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 11, 2015",Male,UnID,Male,UnID,4,Outer Community-North West,,Outer,53.69135000,-113.98368000,POINT (-113.98368 53.69135)
"Aug 17, 2004",Misc,UnID,Female,UnID,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 22, 2014",Aedes,dorsalis,Female,,1,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
"Jul 12, 2005",Aedes,vexans,Female,,46,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Sep 01, 2009",Male,UnID,Male,UnID,5,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jul 05, 1994",Aedes,dorsalis,Female,,2,River Valley-GC2-East,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
"Aug 28, 2018",Male,UnID,Male,UnID,11,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 13, 1991",Culiseta,morsitans,Female,,7,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 07, 2018",Anopheles,earlei,Female,,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Sep 12, 2017",Ochlerotatus,euedes,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 06, 2013",Male,UnID,Male,UnID,106,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 28, 2016",Aedes,dorsalis,Female,,5,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 27, 1999",Culiseta,morsitans,Female,,4,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 09, 1996",Aedes,vexans,Female,,44,River Valley-West-P1,,Core,53.51211760,-113.54965540,POINT (-113.5496554 53.5121176)
"Aug 18, 2015",Aedes,dorsalis,Female,,2,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156 53.33774)
"Jun 28, 1994",Ochlerotatus,excrucians,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 21, 2016",Ochlerotatus,Black legs,Female,UnID,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 25, 1995",Aedes,vexans,Female,,6,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 08, 2003",Ochlerotatus,flavescens,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 19, 1990",Culiseta,inornata,Female,,54,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"Sep 10, 2013",Male,UnID,Male,UnID,9,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Aug 24, 1999",Aedes,vexans,Female,,46,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Sep 29, 2009",Culiseta,inornata,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 20, 1996",Anopheles,earlei,Female,,5,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Jun 26, 2012",Culiseta,inornata,Female,,4,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 19, 2012",Aedes,dorsalis,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 28, 1998",Ochlerotatus,cinereus,Female,,1,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
"Aug 03, 1993",Aedes,dorsalis,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 12, 2018",Ochlerotatus,riparius,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
"Aug 10, 1993",Anopheles,earlei,Female,,4,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 08, 2004",Male,UnID,Male,UnID,3,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
"Aug 02, 2016",Culiseta,inornata,Female,,37,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 24, 2018",Culiseta,inornata,Female,,21,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 27, 1991",Anopheles,earlei,Female,,6,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Sep 11, 2012",Aedes,spp.,Female,UnID,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Sep 05, 2017",Aedes,vexans,Female,,3,Outer Community-North West,,Outer,53.71376480,-113.95903590,POINT (-113.9590359 53.7137648)
"Jul 10, 2012",Aedes,vexans,Female,,46,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 01, 2006",Aedes,spp.,Female,UnID,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 22, 2017",Culiseta,inornata,Female,,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jul 17, 2018",Male,UnID,Male,UnID,4,Outer Community-North West,,Outer,53.71376480,-113.95903590,POINT (-113.9590359 53.7137648)
"Sep 03, 2019",Culex,territans,Female,,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 08, 2021",Ochlerotatus,Black legs,Female,UnID,2,Residential-South,5/19/2020,1,53.48391060,-113.42705860,POINT (-113.4270586 53.4839106)
"Jun 22, 1999",Aedes,vexans,Female,,9,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 27, 1991",Culiseta,inornata,Female,,10,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 03, 1997",Ochlerotatus,fitchii,Female,,4,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 07, 2018",Aedes,vexans,Female,,6,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
"Jun 12, 2018",Culiseta,inornata,Female,,3,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Sep 18, 2012",Culex,tarsalis,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 05, 2016",Ochlerotatus,flavescens,Female,,2,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jun 04, 2002",Culiseta,inornata,Female,,26,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 10, 1999",Culiseta,inornata,Female,,9,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 03, 2018",Ochlerotatus,excrucians,Female,,11,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jul 30, 2013",Culiseta,impatiens,Female,,28,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Sep 05, 2017",Male,UnID,Male,UnID,22,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 24, 2018",Anopheles,earlei,Female,,5,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
"Sep 15, 2020",Culiseta,inornata,Female,,32,Residential-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"Jul 10, 2018",Ochlerotatus,Black legs,Female,UnID,2,Residential GC-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
"May 20, 1997",Ochlerotatus,Black legs,Female,UnID,6,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
"Sep 15, 2009",Male,UnID,Male,UnID,26,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 15, 2017",Anopheles,earlei,Female,,1,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
"Jun 14, 2011",Ochlerotatus,riparius,Female,,5,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Sep 12, 2017",Male,UnID,Male,UnID,121,Outer Community-South West,,Outer,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
"May 23, 2017",Male,UnID,Male,UnID,15,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Oct 01, 2019",Male,UnID,Male,UnID,0,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
"May 31, 2005",Ochlerotatus,Black legs,Female,UnID,3,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
"Aug 17, 2010",Culiseta,inornata,Female,,31,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jun 13, 2017",Ochlerotatus,excrucians,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 26, 2016",Aedes,vexans,Female,,241,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Aug 19, 2014",Male,UnID,Male,UnID,983,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
"Jul 21, 1998",Male,UnID,Male,UnID,403,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Aug 31, 2010",Male,UnID,Male,UnID,19,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 13, 2019",Ochlerotatus,Black legs,Female,UnID,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 05, 2007",Ochlerotatus,excrucians,Female,,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 22, 2000",Ochlerotatus,cinereus,Female,,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Sep 04, 2012",Ochlerotatus,Black legs,Female,UnID,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Aug 14, 2018",Culiseta,incidens,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 25, 2013",Male,UnID,Male,UnID,4,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
"Aug 21, 1990",Misc,UnID,Female,UnID,8,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jul 17, 1990",Ochlerotatus,fitchii,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 22, 2008",Aedes,vexans,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 20, 2006",Aedes,vexans,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Sep 29, 2009",Culiseta,inornata,Female,,5,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
"May 26, 2015",Aedes,dorsalis,Female,,1,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"May 19, 1998",Culiseta,alaskaensis,Female,,2,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jul 14, 2015",Mansonia,perturbans,Female,,1,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
"Aug 28, 2012",Ochlerotatus,Black legs,Female,UnID,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
"Jun 16, 1992",Culiseta,inornata,Female,,22,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jun 09, 1998",Culiseta,inornata,Female,,2,Extended Rural-South West,,Outer,53.42475000,-113.86097000,POINT (-113.86097 53.42475)
"Aug 14, 2018",Ochlerotatus,riparius,Female,,2,Outer Community-North West,,Outer,53.71376480,-113.95903590,POINT (-113.9590359 53.7137648)
"Jul 15, 2014",Aedes,vexans,Female,,21,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 21, 2011",Male,UnID,Male,UnID,3,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
"Jun 26, 2007",Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 28, 2018",Ochlerotatus,flavescens,Female,,3,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Aug 02, 1994",Anopheles,earlei,Female,,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 26, 2001",Anopheles,earlei,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Jun 18, 1996",Aedes,vexans,Female,,2,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 05, 2008",Mansonia,perturbans,Female,,6,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Jun 30, 2015",Culiseta,minnesotae,Female,,1,Outer Community-North West,,Outer,53.69135000,-113.98368000,POINT (-113.98368 53.69135)
"Jul 30, 2013",Aedes,vexans,Female,,84,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Sep 06, 2016",Aedes,vexans,Female,,3,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"May 27, 2014",Aedes,spp.,Female,UnID,1,Industrial South,,Core,53.45891000,-113.47761000,POINT (-113.47761 53.45891)
"Jul 10, 2001",Male,UnID,Male,UnID,11,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
"Jun 27, 2006",Aedes,vexans,Female,,25,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Sep 27, 2011",Anopheles,earlei,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Aug 10, 2021",Male,UnID,Male,UnID,60,Residential-South,7/7/2020,3,53.48391060,-113.42705860,POINT (-113.4270586 53.4839106)
"Aug 01, 2006",Culiseta,inornata,Female,,15,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 20, 2004",Ochlerotatus,flavescens,Female,,13,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"May 20, 1997",Ochlerotatus,spencerii,Female,,3,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048 53.5242058)
"Aug 19, 1997",Culiseta,inornata,Female,,8,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
"Sep 04, 2001",Ochlerotatus,flavescens,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Oct 18, 2022",Male,UnID,Male,UnID,30,River Valley-West,,Core,53.50206100,-113.57237900,POINT (-113.572379 53.502061)
"Sep 10, 2013",Culiseta,inornata,Female,,9,Experimental Sample1,,Other,53.59146000,-112.95107000,POINT (-112.95107 53.59146)
"Jul 19, 2022",Ochlerotatus,canadensis,Female,,2,Residential-South,8/25/2020,2,53.48385900,-113.42692800,POINT (-113.426928 53.483859)
"May 18, 2010",Culiseta,inornata,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"Jun 23, 2020",Culiseta,inornata,Female,,2,River Valley-East,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.581417)
"May 17, 2022",Male,UnID,Male,UnID,0,Residential-East,7/28/2020,13,53.58011600,-113.37449900,POINT (-113.374499 53.580116)
"Aug 09, 2005",Culiseta,inornata,Female,,4,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
"Jun 17, 1997",Culiseta,morsitans,Female,,32,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
"Jul 23, 1996",Culiseta,inornata,Female,,2,River Valley-GC1-East,,Core,53.56151400,-113.43811190,POINT (-113.4381119 53.561514)
